TIMESTAMP CPU% MEM% MEM_RSS_KB
2026-04-17_05:37:09  0.0  0.0  1928
2026-04-17_05:37:14 40.2  2.1 63432
2026-04-17_05:37:20 55.1 10.3 304024
2026-04-17_05:37:25 60.1 12.1 356260
2026-04-17_05:37:30 50.5 11.6 340256
2026-04-17_05:37:35 40.9 11.6 339624
2026-04-17_05:37:40 37.8 12.5 366196
2026-04-17_05:37:45 41.4 13.0 381068
2026-04-17_05:37:50 43.3 12.8 377100
2026-04-17_05:37:55 43.3 13.0 381120
2026-04-17_05:38:00 41.6 13.1 384236
2026-04-17_05:38:05 39.0 13.1 383468
2026-04-17_05:38:10 36.6 13.0 383264
2026-04-17_05:38:15 34.7 13.1 383372
2026-04-17_05:38:21 33.8 13.3 391024
2026-04-17_05:38:26 32.3 13.2 387616
2026-04-17_05:38:31 31.2 13.1 383684
2026-04-17_05:38:36 30.2 13.0 383232
2026-04-17_05:38:41 29.1 13.0 383224
2026-04-17_05:38:46 28.2 13.0 383224
2026-04-17_05:38:51 27.3 13.0 383224
2026-04-17_05:38:56 26.5 13.0 383224
2026-04-17_05:39:01 25.7 13.0 383224
2026-04-17_05:39:06 25.0 13.0 383232
2026-04-17_05:39:11 24.4 13.0 383232
2026-04-17_05:39:16 24.0 13.0 383240
2026-04-17_05:39:21 23.4 13.1 383424
2026-04-17_05:39:26 22.9 13.1 383424
2026-04-17_05:39:31 23.3 13.0 382352
