TIMESTAMP CPU% MEM% MEM_RSS_KB
2026-04-17_03:15:18  0.0  0.0  1928
2026-04-17_03:15:23 34.4  1.7 50496
2026-04-17_03:15:28 17.3  1.7 50496
2026-04-17_03:15:33 11.5  1.7 50496
2026-04-17_03:15:38  8.6  1.7 50496
2026-04-17_03:15:43  6.9  1.7 50496
2026-04-17_03:15:49  5.7  1.7 50496
2026-04-17_03:15:54  4.9  1.7 50496
2026-04-17_03:15:59  4.3  1.7 50496
2026-04-17_03:16:04  3.8  1.7 50496
2026-04-17_03:16:09  3.4  1.7 50496
2026-04-17_03:16:14  3.1  1.7 50752
2026-04-17_03:16:19  3.9  3.0 90036
2026-04-17_03:16:24  5.3  4.7 138540
2026-04-17_03:16:29  4.9  4.7 138540
2026-04-17_03:16:34  4.7  4.7 139456
2026-04-17_03:16:39  4.4  4.8 141272
2026-04-17_03:16:44  4.2  4.8 141272
2026-04-17_03:16:49  4.0  4.8 141532
2026-04-17_03:16:54  3.9  4.7 138564
2026-04-17_03:16:59  3.7  4.7 138564
