TIMESTAMP CPU% MEM% MEM_RSS_KB
2026-04-17_03:17:24  0.0  0.0  1924
2026-04-17_03:17:29 31.4  1.7 50876
2026-04-17_03:17:34 15.7  1.7 50876
2026-04-17_03:17:39 10.3  1.7 50876
2026-04-17_03:17:44  7.8  1.7 50876
2026-04-17_03:17:49 17.3  9.3 272852
2026-04-17_03:17:54 26.7 12.9 380120
2026-04-17_03:17:59 27.0 12.4 365372
2026-04-17_03:18:04 26.6 12.4 363660
2026-04-17_03:18:09 24.8 12.5 366516
2026-04-17_03:18:14 22.5 12.3 362172
2026-04-17_03:18:19 20.5 12.3 361672
2026-04-17_03:18:25 18.9 12.3 360648
2026-04-17_03:18:30 17.5 12.3 360640
2026-04-17_03:18:36 16.1 12.3 360640
2026-04-17_03:18:41 15.1 12.3 360640
2026-04-17_03:18:46 14.2 12.3 360640
2026-04-17_03:18:51 13.8 12.3 361672
2026-04-17_03:18:57 13.0 12.3 361672
2026-04-17_03:19:02 12.5 12.2 359448
2026-04-17_03:19:07 12.0 12.2 359448
2026-04-17_03:19:12 11.4 12.2 359448
2026-04-17_03:19:17 10.9 12.2 359448
2026-04-17_03:19:22 10.4 12.2 359448
2026-04-17_03:19:27 10.0 12.2 359448
2026-04-17_03:19:32  9.6 12.2 359448
2026-04-17_03:19:38  9.3 12.2 359448
2026-04-17_03:19:43  8.9 12.2 359448
2026-04-17_03:19:49  8.6 12.2 359448
2026-04-17_03:19:54  8.3 12.2 359448
2026-04-17_03:19:59  8.1 12.2 359636
2026-04-17_03:20:04  7.9 12.2 359636
2026-04-17_03:20:09  7.6 12.2 359636
2026-04-17_03:20:14  7.4 12.2 359636
2026-04-17_03:20:19  7.2 12.2 359636
2026-04-17_03:20:24  7.0 12.2 359636
2026-04-17_03:20:29  6.8 12.2 359636
2026-04-17_03:20:34  6.6 12.2 359636
2026-04-17_03:20:40  6.5 12.2 359636
2026-04-17_03:20:45  6.3 12.2 359668
2026-04-17_03:20:50  6.2 12.2 359668
2026-04-17_03:20:55  6.1 12.2 359668
2026-04-17_03:21:00  6.0 12.2 359668
2026-04-17_03:21:05  5.8 12.2 359668
2026-04-17_03:21:10  5.7 12.2 359668
2026-04-17_03:21:16  5.7 12.2 359668
2026-04-17_03:21:21  5.5 12.2 359668
2026-04-17_03:21:27  5.4 12.2 359668
2026-04-17_03:21:32  5.3 12.2 359668
2026-04-17_03:21:37  5.2 12.2 359668
2026-04-17_03:21:42  5.3 12.4 363780
